time,id,lux,temp,hum,press,alt,current
2025-11-19 15:25:52,1,14.17,26.38,56.6,100736.0,63.69,-0.5
2025-11-19 15:25:57,2,40.83,24.93,57.58,100704.0,66.03,0.0
2025-11-19 15:26:02,1,10.0,26.34,56.39,100742.0,63.53,-0.3
2025-11-19 15:26:07,2,24.17,24.92,57.65,100707.0,66.12,-0.9
2025-11-19 15:26:13,1,9.17,26.33,56.51,100724.0,64.61,-0.1
2025-11-19 15:26:17,2,20.83,24.92,57.93,100707.0,66.7,-0.7
2025-11-19 15:26:23,1,7.5,26.35,56.63,100739.0,63.61,-0.5
2025-11-19 15:26:27,2,40.83,24.92,58.31,100701.0,66.37,0.0
2025-11-19 15:26:33,1,14.17,26.34,56.77,100741.0,63.53,-0.3
2025-11-19 15:26:37,2,41.67,24.92,58.09,100707.0,65.78,-0.6
2025-11-19 15:26:43,1,14.17,26.35,56.77,100739.0,63.44,-0.2
2025-11-19 15:26:47,2,42.5,24.9,57.86,100707.0,65.95,-0.7
2025-11-19 15:26:53,1,14.17,26.35,56.69,100735.0,64.19,-0.5
2025-11-19 15:26:57,2,41.67,24.91,57.81,100707.0,65.95,0.0
2025-11-19 15:27:03,1,14.17,26.33,56.51,100737.0,63.61,-0.5
2025-11-19 15:27:07,2,41.67,24.93,57.7,100707.0,66.54,0.0
2025-11-19 15:27:13,1,14.17,26.32,56.47,100728.0,63.94,-0.5
2025-11-19 15:27:18,2,41.67,24.91,57.65,100704.0,66.2,-1.0
2025-11-19 15:27:23,1,14.17,26.32,56.39,100731.0,63.78,-0.4
2025-11-19 15:27:28,2,41.67,24.9,57.51,100702.0,66.45,-0.4
2025-11-19 15:27:33,1,14.17,26.34,56.34,100731.0,64.03,-0.5
2025-11-19 15:27:38,2,41.67,24.91,57.52,100709.0,66.12,-0.6
2025-11-19 15:27:43,1,14.17,26.32,56.36,100733.0,63.78,-0.1
2025-11-19 15:27:48,2,41.67,24.91,57.4,100704.0,66.12,-0.8
2025-11-19 15:27:54,1,14.17,26.35,56.25,100736.0,63.61,-0.3
2025-11-19 15:27:58,2,41.67,24.9,57.29,100708.0,66.45,-0.8
2025-11-19 15:28:04,1,14.17,26.36,56.17,100726.0,64.11,-0.1
2025-11-19 15:28:08,2,41.67,24.89,57.08,100701.0,66.37,-0.9
2025-11-19 15:28:14,1,14.17,26.36,55.96,100736.0,64.11,-0.2
2025-11-19 15:28:18,2,41.67,24.92,57.07,100707.0,66.03,-0.5
2025-11-19 15:28:24,1,14.17,26.36,55.92,100732.0,63.94,-0.1
2025-11-19 15:28:28,2,41.67,24.9,56.87,100709.0,66.03,0.0
2025-11-19 15:28:34,1,14.17,26.37,55.7,100730.0,64.53,-0.5
2025-11-19 15:28:38,2,41.67,24.92,56.63,100707.0,66.03,-0.8
2025-11-19 15:28:44,1,14.17,26.37,55.71,100734.0,63.94,-0.4
2025-11-19 15:28:49,2,40.83,24.91,56.48,100706.0,66.37,-0.8
2025-11-19 15:28:54,1,14.17,26.37,55.35,100737.0,63.19,-0.3
2025-11-19 15:28:59,2,40.83,24.9,56.17,100708.0,65.95,-0.6
2025-11-19 15:29:04,1,14.17,26.38,55.14,100733.0,63.19,-0.3
2025-11-19 15:29:09,2,41.67,24.88,56.23,100708.0,65.95,-0.8
2025-11-19 15:29:14,1,14.17,26.36,55.16,100727.0,63.94,-0.4
2025-11-19 15:29:19,2,39.17,24.9,56.3,100712.0,66.2,-0.8
2025-11-19 15:29:25,1,14.17,26.38,55.19,100741.0,63.44,-0.3
2025-11-19 15:29:29,2,40.0,24.87,56.65,100709.0,65.53,-0.8
2025-11-19 15:29:35,1,14.17,26.36,55.64,100739.0,63.11,-0.3
2025-11-19 15:29:39,2,40.0,24.86,56.62,100703.0,65.62,-0.5
2025-11-19 15:29:45,1,14.17,26.35,55.58,100736.0,64.11,0.0
2025-11-19 15:29:49,2,40.83,24.87,56.59,100716.0,65.95,-0.7
2025-11-19 15:29:55,1,14.17,26.36,55.44,100741.0,63.11,-0.5
2025-11-19 15:29:59,2,40.83,24.87,56.31,100708.0,65.95,-0.8
2025-11-19 15:30:05,1,14.17,26.34,55.14,100742.0,62.86,-0.2
2025-11-19 15:30:09,2,40.0,24.86,56.23,100702.0,65.95,0.0
2025-11-19 15:30:15,1,14.17,26.36,55.03,100730.0,64.11,-0.4
2025-11-19 15:30:20,2,39.17,24.86,56.06,100707.0,66.45,-0.9
2025-11-19 15:30:25,1,14.17,26.36,55.02,100735.0,63.69,0.0
2025-11-19 15:30:30,2,40.0,24.82,55.93,100712.0,65.2,0.0
2025-11-19 15:30:35,1,14.17,26.35,54.8,100739.0,63.02,-0.4
2025-11-19 15:30:40,2,40.0,24.82,56.25,100708.0,65.7,0.0
2025-11-19 15:30:45,1,14.17,26.34,54.69,100734.0,63.27,-0.2
2025-11-19 15:30:50,2,40.0,24.82,56.0,100714.0,65.78,-0.8
2025-11-19 15:30:55,1,14.17,26.35,54.49,100739.0,63.27,-0.3
2025-11-19 15:31:00,2,40.0,24.8,55.82,100718.0,65.28,-0.7
2025-11-19 15:31:06,1,14.17,26.32,54.37,100733.0,64.03,-0.2
2025-11-19 15:31:10,2,40.0,24.81,55.61,100713.0,65.53,-0.5
2025-11-19 15:31:16,1,14.17,26.34,54.39,100733.0,63.86,-0.3
2025-11-19 15:31:20,2,40.0,24.79,55.68,100717.0,65.45,-0.8
2025-11-19 15:31:26,1,14.17,26.32,54.36,100734.0,63.78,0.0
